filename, language, JSON, JavaScript, Markdown, CSS, HTML, comment, blank, total
c:\Users\lluis\Desktop\project\backend\controller.js, JavaScript, 0, 29, 0, 0, 0, 0, 5, 34
c:\Users\lluis\Desktop\project\backend\index.js, JavaScript, 0, 13, 0, 0, 0, 0, 7, 20
c:\Users\lluis\Desktop\project\backend\package-lock.json, JSON, 906, 0, 0, 0, 0, 0, 1, 907
c:\Users\lluis\Desktop\project\backend\package.json, JSON, 17, 0, 0, 0, 0, 0, 1, 18
c:\Users\lluis\Desktop\project\backend\router.js, JavaScript, 0, 5, 0, 0, 0, 0, 2, 7
c:\Users\lluis\Desktop\project\my-firstproject\README.md, Markdown, 0, 0, 37, 0, 0, 0, 32, 69
c:\Users\lluis\Desktop\project\my-firstproject\generate-react-cli.json, JSON, 17, 0, 0, 0, 0, 0, 0, 17
c:\Users\lluis\Desktop\project\my-firstproject\package-lock.json, JSON, 14932, 0, 0, 0, 0, 0, 1, 14933
c:\Users\lluis\Desktop\project\my-firstproject\package.json, JSON, 42, 0, 0, 0, 0, 0, 1, 43
c:\Users\lluis\Desktop\project\my-firstproject\public\index.html, HTML, 0, 0, 0, 0, 20, 23, 1, 44
c:\Users\lluis\Desktop\project\my-firstproject\public\manifest.json, JSON, 25, 0, 0, 0, 0, 0, 1, 26
c:\Users\lluis\Desktop\project\my-firstproject\src\ApiClient.js, JavaScript, 0, 37, 0, 0, 0, 0, 9, 46
c:\Users\lluis\Desktop\project\my-firstproject\src\App.css, CSS, 0, 0, 0, 7, 0, 0, 2, 9
c:\Users\lluis\Desktop\project\my-firstproject\src\App.js, JavaScript, 0, 32, 0, 0, 0, 0, 7, 39
c:\Users\lluis\Desktop\project\my-firstproject\src\App.test.js, JavaScript, 0, 8, 0, 0, 0, 0, 2, 10
c:\Users\lluis\Desktop\project\my-firstproject\src\actions\uiState.js, JavaScript, 0, 24, 0, 0, 0, 1, 3, 28
c:\Users\lluis\Desktop\project\my-firstproject\src\components\Checktag\Checktag.css, CSS, 0, 0, 0, 1, 0, 0, 0, 1
c:\Users\lluis\Desktop\project\my-firstproject\src\components\Checktag\Checktag.js, JavaScript, 0, 28, 0, 0, 0, 1, 7, 36
c:\Users\lluis\Desktop\project\my-firstproject\src\components\Home\Home.css, CSS, 0, 0, 0, 17, 0, 0, 2, 19
c:\Users\lluis\Desktop\project\my-firstproject\src\components\Home\Home.js, JavaScript, 0, 24, 0, 0, 0, 0, 5, 29
c:\Users\lluis\Desktop\project\my-firstproject\src\components\Menu\Menu.css, CSS, 0, 0, 0, 18, 0, 0, 0, 18
c:\Users\lluis\Desktop\project\my-firstproject\src\components\Menu\Menu.js, JavaScript, 0, 42, 0, 0, 0, 0, 11, 53
c:\Users\lluis\Desktop\project\my-firstproject\src\components\Picture\Picture.css, CSS, 0, 0, 0, 18, 0, 0, 2, 20
c:\Users\lluis\Desktop\project\my-firstproject\src\components\Picture\Picture.js, JavaScript, 0, 43, 0, 0, 0, 0, 9, 52
c:\Users\lluis\Desktop\project\my-firstproject\src\components\Preview\Preview.css, CSS, 0, 0, 0, 1, 0, 0, 0, 1
c:\Users\lluis\Desktop\project\my-firstproject\src\components\Preview\Preview.js, JavaScript, 0, 50, 0, 0, 0, 7, 11, 68
c:\Users\lluis\Desktop\project\my-firstproject\src\components\Recipe\Recipe.css, CSS, 0, 0, 0, 1, 0, 0, 0, 1
c:\Users\lluis\Desktop\project\my-firstproject\src\components\Recipe\Recipe.js, JavaScript, 0, 13, 0, 0, 0, 0, 4, 17
c:\Users\lluis\Desktop\project\my-firstproject\src\components\Recipes\Recipes.css, CSS, 0, 0, 0, 1, 0, 0, 0, 1
c:\Users\lluis\Desktop\project\my-firstproject\src\components\Recipes\Recipes.js, JavaScript, 0, 28, 0, 0, 0, 1, 7, 36
c:\Users\lluis\Desktop\project\my-firstproject\src\index.css, CSS, 0, 0, 0, 12, 0, 0, 2, 14
c:\Users\lluis\Desktop\project\my-firstproject\src\index.js, JavaScript, 0, 11, 0, 0, 0, 3, 5, 19
c:\Users\lluis\Desktop\project\my-firstproject\src\reducers\index.js, JavaScript, 0, 6, 0, 0, 0, 0, 2, 8
c:\Users\lluis\Desktop\project\my-firstproject\src\reducers\uiState.js, JavaScript, 0, 25, 0, 0, 0, 1, 1, 27
c:\Users\lluis\Desktop\project\my-firstproject\src\serviceWorker.js, JavaScript, 0, 98, 0, 0, 0, 31, 13, 142
c:\Users\lluis\Desktop\project\my-firstproject\src\setupTests.js, JavaScript, 0, 1, 0, 0, 0, 4, 1, 6
c:\Users\lluis\Desktop\project\my-firstproject\src\store.js, JavaScript, 0, 6, 0, 0, 0, 0, 3, 9
Total, -, 15939, 523, 37, 76, 20, 72, 160, 16827